"Folder","FileCount","SizeMB","LastModified"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_internal\utils\__pycache__","27","0.15","1/8/2026 1:42:25 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\packaging","15","0.15","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\pkg_resources\__pycache__","1","0.15","1/8/2026 1:42:27 PM"
"C:\Users\mespindola\Desktop\SEI_Protected_Leave_Report","2","0.14","1/12/2026 5:08:12 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\pygments\lexers","3","0.14","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\HR-Audit_backup_20260102_121735\.obsidian\plugins\calendar","3","0.14","1/2/2026 10:33:08 AM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\calendar","3","0.14","12/29/2025 11:44:26 AM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\urllib3","11","0.14","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\__pycache__","2","0.14","1/8/2026 1:42:34 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\pygments\formatters","14","0.14","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\HR-Audit-BACKUP-20260102-110331\.obsidian\plugins\calendar","3","0.14","1/2/2026 10:33:08 AM"
"C:\Users\mespindola\Documents\HR-Audit_OLD_20260102_122927\.obsidian\plugins\calendar","3","0.14","1/2/2026 10:33:08 AM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_internal\commands\__pycache__","18","0.14","1/8/2026 1:42:21 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\plugin\chalkboard","5","0.13","12/17/2025 3:07:15 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor","3","0.13","1/8/2026 1:42:20 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\plugin\menu","10","0.13","12/17/2025 3:07:14 PM"
"C:\Users\mespindola\Desktop\SEI_KPI_Executive_Presentation\charts","4","0.13","1/12/2026 12:05:54 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\plugin\chalkboard\img","17","0.12","12/17/2025 3:07:15 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\pygments\lexers\__pycache__","3","0.12","1/8/2026 1:42:29 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-advanced-slides\dist\theme\fonts\lato","1","0.12","12/17/2025 3:07:15 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_internal\req\__pycache__","6","0.12","1/8/2026 1:42:23 PM"
"C:\Users\mespindola\Documents\HRM\.obsidian\plugins\obsidian-outliner","3","0.12","12/17/2025 3:06:19 PM"
"C:\Users\mespindola\Documents\obsidian-email-router\.venv\Lib\site-packages\pip\_vendor\pkg_resources","1","0.12","1/8/2026 1:42:20 PM"
